# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	17463
#@/user_id	51e25a0a-ac6c-40dd-89cd-561e9e93526d
bang 	棒	c=2 d=0.0197421 t=17463
bang bang 	帮帮	c=1 d=1 t=15928
bang ding 	绑定	c=2 d=0.0446014 t=17463
bang mang 	帮忙	c=2 d=1.94176 t=16786
bang ni 	帮你	c=2 d=1.0049e-14 t=17463
bang wo 	帮我	c=14 d=0.00463742 t=17463
bang zhu 	帮助	c=1 d=0.0017643 t=17463
bao 	包	c=20 d=0.00251624 t=17463
bao 	抱	c=1 d=5.83443e-15 t=17463
bao bao 	宝宝	c=2 d=2.81023e-09 t=17463
bao bao 	抱抱	c=4 d=0.966232 t=17463
bao bei 	宝贝	c=1 d=0.995012 t=17463
bao bei er 	宝贝儿	c=1 d=1.31063e-06 t=17463
bao biao 	报表	c=9 d=0.109701 t=17463
bao chu 	报出	c=1 d=8.22248e-22 t=17463
bao chu lai 	报出来	c=1 d=0.204948 t=17463
bao cun 	保存	c=18 d=0.245665 t=17463
bao cun dao 	保存到	c=1 d=0.0780817 t=17463
bao cuo 	报错	c=8 d=0.0117679 t=17463
bao e 	保额	c=1 d=0.0144798 t=17463
bao gao 	报告	c=2 d=3.14512e-10 t=17463
bao guo 	包裹	c=2 d=7.66708e-15 t=17463
bao han 	保函	c=1 d=1.07174e-21 t=17463
bao han 	包含	c=10 d=0.403031 t=17463
bao hui 	抱回	c=0 d=6.52859e-15 t=17463
bao hui qu 	抱回去	c=1 d=6.56132e-14 t=17463
bao li 	保理	c=6 d=0.00699482 t=17463
bao li 	暴力	c=1 d=6.5839e-25 t=17463
bao li guan li 	保理管理	c=1 d=0.0702988 t=17463
bao ling qiu 	保龄球	c=1 d=0.000248517 t=17463
bao ming 	报名	c=4 d=0.637628 t=17463
bao ni 	抱你	c=2 d=3.93736e-06 t=17463
bao ren 	抱人	c=1 d=5.77638e-15 t=17463
bao wei de 	包围的	c=1 d=3.68318e-15 t=17463
bao wo 	报我	c=1 d=1.90204e-05 t=17463
bao wo 	抱我	c=1 d=1.28355e-25 t=17463
bao xian 	保险	c=1 d=2.89532e-07 t=17463
bao xiao 	报销	c=1 d=4.70171e-05 t=17463
bao yang 	保养	c=3 d=0.000222774 t=17463
bao you 	包邮	c=1 d=0.0241131 t=17463
bao yuan 	抱怨	c=1 d=6.76459e-20 t=17463
bao zha 	爆炸	c=3 d=4.49705e-06 t=17463
bao zhao 	鲍照	c=1 d=1.96504e-06 t=17463
bao zhe 	抱着	c=7 d=0.00030564 t=17463
bao zhen 	抱枕	c=1 d=5.89307e-15 t=17463
bao zheng 	保证	c=1 d=1 t=17201
bao zhuang 	包装	c=3 d=0.00136806 t=17463
bao zou 	抱走	c=3 d=2.51616e-05 t=17463
bei 	呗	c=5 d=0.0125254 t=17463
bei 	杯	c=0 d=0.00269169 t=17463
bei 	背	c=1 d=8.52434e-05 t=17463
bei 	被	c=9 d=0.0972967 t=17463
bei 	贝	c=1 d=2.72152e-14 t=17463
bei bei 	贝贝	c=1 d=9.28059e-05 t=17463
bei fen 	备份	c=10 d=6.34664e-05 t=17463
bei jing 	北京	c=1 d=0.053397 t=17463
bei jing 	背景	c=5 d=0.298499 t=17463
bei ke zhan 	北客站	c=2 d=3.66844e-09 t=17463
bei ni 	被你	c=2 d=8.37717e-06 t=17463
bei pian 	被骗	c=1 d=0.891366 t=17463
bei yong 	备用	c=1 d=0.0695994 t=17463
bei zhu 	备注	c=1 d=8.13374e-12 t=17463
bei zi 	杯子	c=1 d=1 t=16381
bei zi 	被子	c=1 d=0.055299 t=17463
ben 	本	c=4 d=0.00240302 t=17463
ben ben 	本本	c=1 d=6.68931e-06 t=17463
ben ci 	本次	c=2 d=0.000690366 t=17463
ben de 	本的	c=1 d=0.00230521 t=17463
ben di 	本地	c=12 d=0.541258 t=17463
ben di hua 	本地化	c=1 d=0.00153381 t=17463
ben lai 	本来	c=2 d=0.166127 t=17463
ben ren 	本人	c=2 d=0.00806679 t=17463
ben ti 	本体	c=1 d=1.88375e-09 t=17463
ben zi 	本子	c=1 d=5.47674e-06 t=17463
beng di 	蹦迪	c=1 d=1.52139e-25 t=17463
bi 	比	c=1 d=1.25824e-23 t=17463
bi 	逼	c=0 d=4.26008e-22 t=17463
bi a ke 	比阿克	c=1 d=3.32747e-26 t=17463
bi bei 	必备	c=0 d=0.00596059 t=17463
bi bi 	逼逼	c=1 d=7.12983e-21 t=17463
bi dui 	比对	c=6 d=0.024234 t=17463
bi fang 	比方	c=1 d=3.31888e-25 t=17463
bi ji 	笔记	c=10 d=0.0701542 t=17463
bi jiao 	比较	c=16 d=0.0443499 t=17463
bi jiao hao 	比较好	c=1 d=1.25599e-05 t=17463
bi jiao jie guo 	比较结果	c=2 d=1.20468e-17 t=17463
bi jiao leng 	比较冷	c=1 d=1.80614e-14 t=17463
bi jing 	毕竟	c=2 d=0.00647375 t=17463
bi li bi li 	哔哩哔哩	c=2 d=0.00726273 t=17463
bi ou 	比偶	c=0 d=2.17695e-06 t=17463
bi ou shuo 	比偶说	c=1 d=2.18786e-05 t=17463
bi ru 	比如	c=1 d=2.78369e-15 t=17463
bi sai 	比赛	c=2 d=2.511e-08 t=17463
bi shang 	比上	c=0 d=2.87442e-11 t=17463
bi shang yi ge 	比上一个	c=1 d=2.88883e-10 t=17463
bi wan 	比完	c=1 d=1 t=16721
bi wan 	臂弯	c=1 d=1 t=16720
bi wo 	比我	c=2 d=3.17068e-17 t=17463
bi wo hao 	比我好	c=1 d=1.1906e-23 t=17463
bi xu 	必须	c=10 d=1.34134 t=17463
bi ye 	毕业	c=1 d=2.81716e-20 t=17463
bi ye hou 	毕业后	c=3 d=2.90089e-20 t=17463
bi ye zheng 	毕业证	c=1 d=2.77122e-21 t=17463
bi ying 	必应	c=6 d=0.937583 t=17463
bi zhi 	壁纸	c=3 d=0.0450492 t=17463
bi zhong 	币种	c=75 d=0.468048 t=17463
bi zi 	鼻子	c=1 d=0.0157644 t=17463
