# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3184
#@/user_id	30b2fdae-cf15-49c1-b454-51f04700fdbe
chu li 	處理	c=3 d=0.000763524 t=3184
chu wai 	除外	c=1 d=0.631284 t=3184
chu zu che 	出租車	c=1 d=3.0585e-05 t=3184
chuan 	串	c=1 d=0.00022263 t=3184
chuan 	傳	c=1 d=0.000141955 t=3184
chuan yue 	穿越	c=1 d=0.967176 t=3184
chuan yue huan ge 	穿越換個	c=1 d=1 t=3184
chuan yue huo xian 	穿越火線	c=5 d=4.4853 t=3184
chuang jian 	創建	c=4 d=0.00150731 t=3184
ci 	次	c=1 d=0.000108909 t=3184
ci biao 	此表	c=1 d=1.77345e-05 t=3184
ci ku 	詞庫	c=5 d=0.98789 t=3184
cong ming 	聰明	c=0 d=1.20363e-05 t=3184
cun fang 	存放	c=2 d=0.0507954 t=3184
cun kuan 	存款	c=1 d=8.60102e-05 t=3184
cun zai 	存在	c=1 d=2.46085e-06 t=3184
cuo wu 	錯誤	c=6 d=0.00770091 t=3184
da 	大	c=1 d=0.0827108 t=3184
da bao 	打包	c=0 d=0.0527292 t=3184
da bao fa bu 	打包發佈	c=1 d=0.529935 t=3184
da cheng 	打成	c=1 d=0.0231676 t=3184
da deng 	大燈	c=1 d=0.0824965 t=3184
da fei ji 	打飛機	c=0 d=0.00036481 t=3184
da fei ji a ba la ke si da jin gang la sa kan guo 	打飛機啊巴拉克四大金剛拉薩看過	c=1 d=0.00121258 t=3184
da gai 	大概	c=1 d=0.535261 t=3184
da hao 	打好	c=1 d=4.40582e-05 t=3184
da kai 	打開	c=1 d=2.91687e-06 t=3184
da kou jing 	大口徑	c=0 d=0.000115103 t=3184
da li 	大荔	c=1 d=0.000188431 t=3184
da lian 	大連	c=1 d=5.15781e-06 t=3184
da ta 	大它	c=1 d=0.647265 t=3184
da xiao xie 	大小寫	c=2 d=0.021991 t=3184
da xie 	大寫	c=1 d=1.78695e-06 t=3184
da yin 	打印	c=2 d=0.000139256 t=3184
da zhe 	打折	c=2 d=0.0333826 t=3184
da zi 	打字	c=1 d=1 t=3184
dai ma 	代碼	c=4 d=1.15611 t=3184
dan du 	單獨	c=0 d=0.0687289 t=3184
dan ge 	單個	c=2 d=0.000324135 t=3184
dan ni er 	丹尼爾	c=0 d=0.0499074 t=3184
dan ni er gei ni 	丹尼爾給你	c=1 d=0.501576 t=3184
dan shen 	單身	c=0 d=1.12788e-05 t=3184
dan shen gou 	單身狗	c=1 d=0.000113354 t=3184
dan shi 	但是	c=1 d=8.99463e-05 t=3184
dan wo 	但我	c=1 d=0.852144 t=3184
dang 	當	c=1 d=0.110536 t=3184
dang jiang bu dang jiang 	當講不當講	c=1 d=0.0356146 t=3184
dao 	到	c=9 d=0.229018 t=3184
dao chu 	導出	c=7 d=1.37489 t=3184
dao di 	到底	c=1 d=0.158818 t=3184
dao jia 	到家	c=0 d=3.57129e-06 t=3184
dao jia le 	到家了	c=1 d=3.58919e-05 t=3184
dao le 	到了	c=0 d=1.54575e-07 t=3184
dao shi hou 	到時候	c=1 d=0.358796 t=3184
dao shu 	倒數	c=1 d=0.018968 t=3184
dao zhi 	導致	c=1 d=0.00481991 t=3184
de 	德	c=1 d=0.995012 t=3184
de 	的	c=144 d=16.7881 t=3184
de chu 	得出	c=1 d=0.00017956 t=3184
de gu la 	德古拉	c=0 d=0.000121258 t=3184
de ye wu 	的業務	c=1 d=0.398519 t=3184
de zhi 	的值	c=1 d=0.115325 t=3184
deng 	等	c=2 d=0.810592 t=3184
deng dai 	等待	c=2 d=0.000575508 t=3184
deng hui 	燈會	c=1 d=1.69541e-05 t=3184
deng hui 	等會	c=2 d=0.0289031 t=3184
deng ni 	等你	c=2 d=1.10159 t=3184
deng yu 	等於	c=1 d=0.909373 t=3184
di er 	第二	c=0 d=0.0018968 t=3184
di er ban 	第二版	c=2 d=0.000907023 t=3184
di er ge 	第二個	c=1 d=0.0010333 t=3184
di er lie 	第二列	c=1 d=0.0190631 t=3184
di fang 	地方	c=0 d=0.000130694 t=3184
di san fang 	第三方	c=1 d=0.00165746 t=3184
di san fang su du fa 	第三方速讀法	c=1 d=0.0141223 t=3184
di san zhang 	第三章	c=1 d=1.38808e-05 t=3184
di si 	第四	c=1 d=0.00150344 t=3184
di tu 	地圖	c=0 d=6.28349e-06 t=3184
di yi ge 	第一個	c=1 d=0.00019549 t=3184
dian dian 	點點	c=1 d=1.24973e-05 t=3184
dian fan guo 	電飯鍋	c=1 d=2.05017e-05 t=3184
dian hua 	電話	c=1 d=0.298197 t=3184
dian ji 	點擊	c=3 d=0.354459 t=3184
